,algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,PR_AUC,band_param,epochs,sigmoid_pow
60,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,7.479059457778931,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 50, 'sigmoid_pow': 1.0}",e68c360c4c261c5b4d2ef451fa562bd6,0.7493249324932494,0.500099720781811,0.004,50.0,1.0
61,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,11.716338634490969,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 100, 'sigmoid_pow': 1.0}",51fb74a4c0dc93f19fef6919e9fd845d,0.7182718271827183,0.0001767408978437,0.004,100.0,1.0
62,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.859286069869995,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 150, 'sigmoid_pow': 1.0}",42d9595edf3ffec4c2e573e4a8337eae,0.816031603160316,0.0002683843263553,0.004,150.0,1.0
63,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,18.28200078010559,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.6055605560556055,0.0001263902932254,0.004,200.0,1.0
64,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,20.13140559196472,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 250, 'sigmoid_pow': 1.0}",5014270011609e9cf61a7fd7fcd9c215,0.9712971297129712,0.5008695652173913,0.004,250.0,1.0
65,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,23.18054461479187,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 300, 'sigmoid_pow': 1.0}",ab233335a132d5907b0b55a85a1002a9,0.9574957495749576,0.500587544065805,0.004,300.0,1.0
66,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,7.37389349937439,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 50, 'sigmoid_pow': 1.0}",e68c360c4c261c5b4d2ef451fa562bd6,0.8324324324324324,0.5014889815366289,0.004,50.0,1.0
67,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,11.115825891494753,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 100, 'sigmoid_pow': 1.0}",51fb74a4c0dc93f19fef6919e9fd845d,0.4352852852852852,0.0008837044892188,0.004,100.0,1.0
68,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,13.772130012512209,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 150, 'sigmoid_pow': 1.0}",42d9595edf3ffec4c2e573e4a8337eae,0.5895395395395395,0.0012144765606023,0.004,150.0,1.0
69,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.99314284324646,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.9751751751751752,0.5098814229249012,0.004,200.0,1.0
